strain	originating_lab	submitting_lab
A/Arizona/20/2009	arizona_department_of_health_services	centers_for_disease_control_and_prevention
A/Florida/5/2010-egg	florida_department_of_health_jacksonville	centers_for_disease_control_and_prevention
A/Athens/INS3_697/2011		other_database_import
A/Amman/WRAIR1339N/2009		other_database_import
A/Amman/WR1324N/2009		other_database_import
A/Fujian-Gulou/SWL11875/2009-egg		who_chinese_national_influenza_center
A/Singapore/ON1177/2009		other_database_import
A/Argentina/HNRG32/2009-egg		other_database_import
A/Oman/SQUH-37/2010		other_database_import
A/NewHampshire/2/2010-egg	new_hampshire_public_health_laboratories	centers_for_disease_control_and_prevention
A/Oman/SQUH-36/2010		other_database_import
A/Uganda/MUWRP-067/2009		other_database_import
A/Uganda/MUWRP-069/2009		other_database_import
A/Iwate/2/2009		other_database_import
A/NewYork/23/2009-egg		centers_for_disease_control_and_prevention
A/StPetersburg/59/2009-egg	russian_academy_of_medical_sciences	centers_for_disease_control_and_prevention
A/StPetersburg/103/2010-egg	russian_academy_of_medical_sciences	centers_for_disease_control_and_prevention
A/DistrictofColumbia/WRAIR313/2011		other_database_import
A/India/3725/2010	national_institute_of_virology	centers_for_disease_control_and_prevention
A/Baleares/RR5480/2009		instituto_de_salud_carlos_iii
A/Pakistan/154/2009	national_institute_of_health	centers_for_disease_control_and_prevention
A/Maryland/38/2009-egg	u.s._air_force_school_of_aerospace_medicine	centers_for_disease_control_and_prevention
A/CapeTown/60/2011-egg	national_institute_for_communicable_disease	centers_for_disease_control_and_prevention
A/Utah/2/2010	utah_department_of_health	centers_for_disease_control_and_prevention
A/NewYork/13/2009-egg		centers_for_disease_control_and_prevention
A/Heilongjiang/SWL1/2009-egg		who_chinese_national_influenza_center
A/Wisconsin/629-S1350/2009		other_database_import
A/Singapore/GP4419/2009		other_database_import
A/Chongqing-Nanchuan/SWL31/2010-egg		who_chinese_national_influenza_center
A/Victoria/516/2011	monash_medical_centre	who_collaborating_centre_for_reference_and_research_on_influenza
A/Morocco/439/2009	institut_national_d_hygiene,_ministere_de_la_sante_sante	national_institute_of_hygiene
A/Morocco/436/2009	institut_national_d_hygiene,_ministere_de_la_sante_sante	national_institute_of_hygiene
A/Morocco/344/2009	institut_national_d_hygiene,_ministere_de_la_sante_sante	national_institute_of_hygiene
A/Morocco/608/2009	institut_national_d_hygiene,_ministere_de_la_sante_sante	national_institute_of_hygiene
A/Bolivia/1516/2010	cenetrop	centers_for_disease_control_and_prevention
