strain	submitting_lab	originating_lab
A/Bhutan/287/2020	centers_for_disease_control_and_prevention	royal_centre_for_disease_control
A/Bhutan/770/2020	centers_for_disease_control_and_prevention	royal_centre_for_disease_control
A/Virginia/42/2019	centers_for_disease_control_and_prevention	virginia_division_of_consolidated_laboratories
A/StPetersburg/RII-804S/2020	who_national_influenza_centre_russian_federation	research_institute_of_influenza,_ministry_of_healthcare_of_the_russian_federation
A/StPetersburg/RII-2191S/2020	who_national_influenza_centre_russian_federation	research_institute_of_influenza,_ministry_of_healthcare_of_the_russian_federation
A/Bahia/466223/2020	laborat?rio_central_de_sa?de_publica_do_estado_da_bahia	laboratório_central_de_saúde_pública_professor_gonçalo_moniz,_lacen_ba
A/Washington/S27289/2019		the_brotman_baty_institute_for_precision_medicine
A/StPetersburg/RII-324/2019	who_national_influenza_centre_russian_federation	research_institute_of_influenza,_ministry_of_healthcare_of_the_russian_federation
A/Singapore/MOH0133/2019	ministry_of_health,_singapore	ministry_of_health,_singapore
A/SouthKorea/10327/2019	u.s._air_force_school_of_aerospace_medicine	u.s._air_force_school_of_aerospace_medicine_
A/TimorLeste/9/2021	who_collaborating_centre_for_reference_and_research_on_influenza	laboratório_nacional_da_saúde
A/Darwin/1/2021	who_collaborating_centre_for_reference_and_research_on_influenza	influenza_surveillance_centre_for_disease_control
A/Darwin/132/2020	who_collaborating_centre_for_reference_and_research_on_influenza	influenza_surveillance_centre_for_disease_control
A/RioGrandedoSul/26/2020	instituto_oswaldo_cruz_fiocruz___laboratory_of_respiratory_viruses_and_measles_(lvrs)	lacen/rs___laboratório_central_de_saúde_pública_do_rio_grande_do_sul
A/Darwin/113/2020	who_collaborating_centre_for_reference_and_research_on_influenza	influenza_surveillance_centre_for_disease_control
A/Miyagi/2/2021	national_institute_of_infectious_diseases_(niid)	miyagi_prefectural_institute_of_public_health_and_environment
A/Miyagi/1/2021	national_institute_of_infectious_diseases_(niid)	miyagi_prefectural_institute_of_public_health_and_environment
A/Tasmania/503/2020-egg	centers_for_disease_control_and_prevention	hobart_pathology
A/Tasmania/503/2020	centers_for_disease_control_and_prevention	hobart_pathology
A/Finland/183/2020-egg	centers_for_disease_control_and_prevention	national_institute_for_health_and_welfare
A/Saitama/92/2020-egg	centers_for_disease_control_and_prevention	saitama_institute_of_public_health
A/Saitama/92/2020	centers_for_disease_control_and_prevention	saitama_institute_of_public_health
A/Cambodia/E0826360/2020-egg	centers_for_disease_control_and_prevention	who_collaborating_centre_for_reference_and_research_on_influenza
A/Cambodia/KVH200226/2020	national_institute_of_public_health	national_institute_of_public_health
A/Cambodia/998/2020	centers_for_disease_control_and_prevention	national_public_health_laboratory
A/Cambodia/801/2020	centers_for_disease_control_and_prevention	national_public_health_laboratory
A/Cambodia/e1012399/2020	who_collaborating_centre_for_reference_and_research_on_influenza	institute_pasteur_du_cambodia
A/Cambodia/e0826360/2020-egg	centers_for_disease_control_and_prevention	institute_pasteur_du_cambodia
A/Yamagata/1/2021	centers_for_disease_control_and_prevention	yamagata_prefectural_institute_of_public_health
A/Yamagata/2/2021	national_institute_of_infectious_diseases_(niid)	yamagata_prefectural_institute_of_public_health
A/Thailand/3/2021	centers_for_disease_control_and_prevention	who_national_influenza_centre,_national_institute_of_medical_research_(nimr)
A/Thailand/11/2021	centers_for_disease_control_and_prevention	who_national_influenza_centre,_national_institute_of_medical_research_(nimr)
A/Thailand/5/2021	centers_for_disease_control_and_prevention	who_national_influenza_centre,_national_institute_of_medical_research_(nimr)
A/Thailand/6/2021	centers_for_disease_control_and_prevention	who_national_influenza_centre,_national_institute_of_medical_research_(nimr)
A/Bangkok/57/2020	centers_for_disease_control_and_prevention	who_national_influenza_centre,_national_institute_of_medical_research_(nimr)
A/California/55/2020	centers_for_disease_control_and_prevention	california_department_of_health_services
A/Cambodia/20101195/2020	national_institute_of_public_health	national_institute_of_public_health
A/Cambodia/1180/2020	centers_for_disease_control_and_prevention	national_public_health_laboratory
A/Cambodia/1171/2020	centers_for_disease_control_and_prevention	national_public_health_laboratory
A/Cambodia/1189/2020	centers_for_disease_control_and_prevention	national_public_health_laboratory
A/Cambodia/713/2020	centers_for_disease_control_and_prevention	national_public_health_laboratory
A/Ayutthaya/60/2020	centers_for_disease_control_and_prevention	who_national_influenza_centre,_national_institute_of_medical_research_(nimr)
A/Bangkok/62/2020	centers_for_disease_control_and_prevention	who_national_influenza_centre,_national_institute_of_medical_research_(nimr)
A/Vietnam/Vnhcm-Gs506/2020	centers_for_disease_control_and_prevention	pasteur_institute,_influenza_laboratory
A/Vietnam/Vnhcm-Vp238/2020	centers_for_disease_control_and_prevention	pasteur_institute,_influenza_laboratory
A/Vietnam/Vnhcm-Vp235/2020	centers_for_disease_control_and_prevention	pasteur_institute,_influenza_laboratory
A/Lao/1424/2021	centers_for_disease_control_and_prevention	national_center_for_laboratory_and_epidemiology
A/Lao/1749/2020	centers_for_disease_control_and_prevention	national_center_for_laboratory_and_epidemiology
A/Lao/1745/2020	centers_for_disease_control_and_prevention	national_center_for_laboratory_and_epidemiology
A/Lao/1740/2020	centers_for_disease_control_and_prevention	national_center_for_laboratory_and_epidemiology
A/Lao/819-0127/2021	moru_tropical_health_network	lao_oxford_mahosot_wellcome_trust_research_unit_(lomwru)
A/Lao/469/2021	centers_for_disease_control_and_prevention	national_center_for_laboratory_and_epidemiology
A/Lao/766/2021	centers_for_disease_control_and_prevention	national_center_for_laboratory_and_epidemiology
A/Lao/799/2021	centers_for_disease_control_and_prevention	national_center_for_laboratory_and_epidemiology
A/Lao/924/2021	centers_for_disease_control_and_prevention	national_center_for_laboratory_and_epidemiology
A/Lao/785/2021	centers_for_disease_control_and_prevention	national_center_for_laboratory_and_epidemiology
A/Lao/F1071/2021	national_institute_of_infectious_diseases_(niid)	national_center_for_laboratory_and_epidemiology
A/Ayutthaya/56/2020	centers_for_disease_control_and_prevention	who_national_influenza_centre,_national_institute_of_medical_research_(nimr)
A/Cambodia/E0826360/2020	centers_for_disease_control_and_prevention	who_collaborating_centre_for_reference_and_research_on_influenza
A/Hainan-Baotinglizumiaozuzizhi/35/2022	centers_for_disease_control_and_prevention	who_chinese_national_influenza_center
A/Rencheng/1990/2022	jining_center_for_disease_control_and_prevention	_jining_center_for_disease_control_and_prevention
A/HongKong/6/2022	centers_for_disease_control_and_prevention	government_virus_unit
A/Zhejiang-NH/1779/2022	zhejiang_provincial_center_for_disease_control_and_prevention	jiaxing_cdc
A/Zhejiang-NH/1706/2022	zhejiang_provincial_center_for_disease_control_and_prevention	jiaxing_center_for_disease_control_and_prevention
A/Zhejiang-NH/1685/2022	zhejiang_provincial_center_for_disease_control_and_prevention	jiaxing_center_for_disease_control_and_prevention
A/Zhejiang-NH/1829/2022	zhejiang_provincial_center_for_disease_control_and_prevention	jiaxing_center_for_disease_control_and_prevention
A/Beijing-Chaoyang/12480/2022	centers_for_disease_control_and_prevention	who_chinese_national_influenza_center
A/Zhejiang-Gongshu/1920/2022-egg	centers_for_disease_control_and_prevention	who_chinese_national_influenza_center
A/HongKong/7/2022	centers_for_disease_control_and_prevention	government_virus_unit
A/Sichuan-Fucheng/11625/2022-egg	centers_for_disease_control_and_prevention	who_chinese_national_influenza_center
A/Zhejiang-NH/11179/2022	zhejiang_provincial_center_for_disease_control_and_prevention	jiaxing_cdc
A/Rencheng/11121/2022	jining_center_for_disease_control_and_prevention	_jining_center_for_disease_control_and_prevention
A/Rencheng/11049/2022	jining_center_for_disease_control_and_prevention	_jining_center_for_disease_control_and_prevention
A/Guizhou-Liuzhite/326/2022	centers_for_disease_control_and_prevention	who_chinese_national_influenza_center
A/Zhejiang-NH/11037/2022	zhejiang_provincial_center_for_disease_control_and_prevention	jiaxing_cdc
A/Zhejiang-NH/11050/2022	zhejiang_provincial_center_for_disease_control_and_prevention	jiaxing_center_for_disease_control_and_prevention
A/Zhejiang-NH/11100/2022	zhejiang_provincial_center_for_disease_control_and_prevention	jiaxing_cdc
A/Pennsylvania/1/2021-egg	centers_for_disease_control_and_prevention	pennsylvania_department_of_health
A/Pennsylvania/1/2021	centers_for_disease_control_and_prevention	pennsylvania_department_of_health
A/Darwin/53/2021	who_collaborating_centre_for_reference_and_research_on_influenza	royal_darwin_hospital
A/Mozambique/253/2021	centers_for_disease_control_and_prevention	laboratório_de_isolamento_viral
A/Singapore/INFKK0002/2021-egg	who_collaborating_centre_for_reference_and_research_on_influenza	ministry_of_health,_singapore
A/Lulea/1/2021	public_health_agency_of_sweden	laboratoriemedicin,_mikrobiologiska_laboratoriet,_sunderby_sjukhus_lulea
A/Vladivostok/3/2021	centers_for_disease_control_and_prevention	ivanovsky_research_institute_of_virology_rams
A/Pakistan/ICT14/2021	centers_for_disease_control_and_prevention	national_institute_of_health
A/Afghanistan/4903/2021	centers_for_disease_control_and_prevention	national_public_health_laboratory
A/Pakistan/ICT8/2021	centers_for_disease_control_and_prevention	national_institute_of_health
A/Darwin/36/2021-egg	centers_for_disease_control_and_prevention	royal_darwin_hospital
A/Darwin/36/2021	who_collaborating_centre_for_reference_and_research_on_influenza	royal_darwin_hospital
A/Qatar/21-VI-21-4953403/2021	crick_worldwide_influenza_centre	supreme_health_council
A/Alagoas/63951/2021	instituto_oswaldo_cruz_fiocruz___laboratory_of_respiratory_viruses_and_measles_(lvrs)	laboratório_central_de_saúde_pública_de_alagoas,_lacen_al
A/Tennessee/80/2022	centers_for_disease_control_and_prevention	vanderbilt_university_medical_center
A/Texas/12651/2021	u.s._air_force_school_of_aerospace_medicine	u.s._air_force_school_of_aerospace_medicine_
